snapshot,time_gyr,peak_a2a0,label
snapshot_228,4.4587,0.0591,0
snapshot_229,4.4783,0.0628,0
snapshot_230,4.4978,0.0579,0
snapshot_231,4.5174,0.0538,0
snapshot_232,4.537,0.0574,0
snapshot_233,4.5565,0.0601,0
snapshot_234,4.5761,0.0578,0
snapshot_235,4.5956,0.0576,0
snapshot_236,4.6152,0.0608,0
snapshot_237,4.6347,0.0573,0
snapshot_238,4.6543,0.0606,0
snapshot_239,4.6738,0.0565,0
snapshot_240,4.6934,0.0551,0
snapshot_241,4.713,0.0537,0
snapshot_242,4.7325,0.0568,0
snapshot_243,4.7521,0.0611,0
snapshot_244,4.7716,0.0628,0
snapshot_245,4.7912,0.0633,0
snapshot_246,4.8107,0.0597,0
snapshot_247,4.8303,0.0592,0
snapshot_248,4.8498,0.058,0
snapshot_249,4.8694,0.0601,0
snapshot_250,4.889,0.0641,0
snapshot_251,4.9085,0.0636,0
snapshot_252,4.9281,0.0605,0
snapshot_253,4.9476,0.0617,0
snapshot_254,4.9672,0.0656,0
snapshot_255,4.9867,0.07,0
snapshot_256,5.0063,0.0681,0
snapshot_257,5.0259,0.0649,0
snapshot_258,5.0454,0.0627,0
snapshot_259,5.065,0.0613,0
snapshot_260,5.0845,0.062,0
snapshot_261,5.1041,0.0644,0
snapshot_262,5.1236,0.0634,0
snapshot_263,5.1432,0.0614,0
snapshot_264,5.1627,0.0633,0
snapshot_265,5.1823,0.064,0
snapshot_266,5.2019,0.0647,0
snapshot_267,5.2214,0.0682,0
snapshot_268,5.241,0.0651,0
snapshot_269,5.2605,0.064,0
snapshot_270,5.2801,0.0612,0
snapshot_271,5.2996,0.0649,0
snapshot_272,5.3192,0.0701,0
snapshot_273,5.3387,0.0718,0
snapshot_274,5.3583,0.0667,0
snapshot_275,5.3779,0.0661,0
snapshot_276,5.3974,0.0664,0
snapshot_277,5.417,0.0722,0
snapshot_278,5.4365,0.0694,0
snapshot_279,5.4561,0.0739,0
snapshot_280,5.4756,0.0675,0
snapshot_281,5.4952,0.0748,0
snapshot_282,5.5147,0.0739,0
snapshot_283,5.5343,0.0768,0
snapshot_284,5.5539,0.0719,0
snapshot_285,5.5734,0.0685,0
snapshot_286,5.593,0.0754,0
snapshot_287,5.6125,0.0799,0
snapshot_288,5.6321,0.0778,0
snapshot_289,5.6516,0.0715,0
snapshot_290,5.6712,0.0736,0
snapshot_291,5.6908,0.0768,0
snapshot_292,5.7103,0.0814,0
snapshot_293,5.7299,0.0803,0
snapshot_294,5.7494,0.0839,0
snapshot_295,5.769,0.0794,0
snapshot_296,5.7885,0.084,0
snapshot_297,5.8081,0.0824,0
snapshot_298,5.8276,0.0783,0
snapshot_299,5.8472,0.0756,0
snapshot_300,5.8668,0.075,0
snapshot_301,5.8863,0.0815,0
snapshot_302,5.9059,0.0866,0
snapshot_303,5.9254,0.0907,0
snapshot_304,5.945,0.0909,0
snapshot_305,5.9645,0.0921,0
snapshot_306,5.9841,0.0915,0
snapshot_307,6.0036,0.0921,0
snapshot_308,6.0232,0.0995,0
snapshot_309,6.0428,0.0996,0
snapshot_310,6.0623,0.1012,0
snapshot_311,6.0819,0.1003,0
snapshot_312,6.1014,0.0954,0
snapshot_313,6.121,0.0905,0
snapshot_314,6.1405,0.0938,0
snapshot_315,6.1601,0.1011,0
snapshot_316,6.1796,0.1026,0
snapshot_317,6.1992,0.1076,0
snapshot_318,6.2188,0.1103,0
snapshot_319,6.2383,0.1088,0
snapshot_320,6.2579,0.1091,0
snapshot_321,6.2774,0.109,0
snapshot_322,6.297,0.1098,0
snapshot_323,6.3165,0.1085,0
snapshot_324,6.3361,0.1081,0
snapshot_325,6.3556,0.1194,0
snapshot_326,6.3752,0.1222,0
snapshot_327,6.3948,0.1204,0
snapshot_328,6.4143,0.1226,0
snapshot_329,6.4339,0.1179,0
snapshot_330,6.4534,0.1208,0
snapshot_331,6.473,0.1228,0
snapshot_332,6.4925,0.122,0
snapshot_333,6.5121,0.1219,0
snapshot_334,6.5317,0.1176,0
snapshot_335,6.5512,0.1146,0
snapshot_336,6.5708,0.1167,0
snapshot_337,6.5903,0.1193,0
snapshot_338,6.6099,0.1235,0
snapshot_339,6.6294,0.1238,0
snapshot_340,6.649,0.1195,0
snapshot_341,6.6685,0.1166,0
snapshot_342,6.6881,0.121,0
snapshot_343,6.7077,0.1227,0
snapshot_344,6.7272,0.1266,0
snapshot_345,6.7468,0.1259,0
snapshot_346,6.7663,0.1278,0
snapshot_347,6.7859,0.128,0
snapshot_348,6.8054,0.1271,0
snapshot_349,6.825,0.1266,0
snapshot_350,6.8445,0.1351,0
snapshot_351,6.8641,0.1345,0
snapshot_352,6.8837,0.1432,0
snapshot_353,6.9032,0.1368,0
snapshot_354,6.9228,0.1286,0
snapshot_355,6.9423,0.1254,0
snapshot_356,6.9619,0.1242,0
snapshot_357,6.9814,0.1238,0
snapshot_358,7.001,0.1261,0
snapshot_359,7.0205,0.13,0
snapshot_360,7.0401,0.1304,0
snapshot_361,7.0597,0.1307,0
snapshot_362,7.0792,0.1293,0
snapshot_363,7.0988,0.1307,0
snapshot_364,7.1183,0.1296,0
snapshot_365,7.1379,0.1308,0
snapshot_366,7.1574,0.1322,0
snapshot_367,7.177,0.1342,0
snapshot_368,7.1966,0.1383,0
snapshot_369,7.2161,0.1318,0
snapshot_370,7.2357,0.1401,0
snapshot_371,7.2552,0.1379,0
snapshot_372,7.2748,0.1384,0
snapshot_373,7.2943,0.1381,0
snapshot_374,7.3139,0.1396,0
snapshot_375,7.3334,0.1415,0
snapshot_376,7.353,0.1399,0
snapshot_377,7.3726,0.1427,0
snapshot_378,7.3921,0.1375,0
snapshot_379,7.4117,0.1417,0
snapshot_380,7.4312,0.1444,0
snapshot_381,7.4508,0.1465,0
snapshot_382,7.4703,0.1508,0
snapshot_383,7.4899,0.145,0
snapshot_384,7.5094,0.1453,0
snapshot_385,7.529,0.1448,0
snapshot_386,7.5486,0.1496,0
snapshot_387,7.5681,0.1539,0
snapshot_388,7.5877,0.159,0
snapshot_389,7.6072,0.1618,0
snapshot_390,7.6268,0.1554,0
snapshot_391,7.6463,0.1547,0
snapshot_392,7.6659,0.1575,0
snapshot_393,7.6854,0.1654,0
snapshot_394,7.705,0.166,0
snapshot_395,7.7246,0.1727,0
snapshot_396,7.7441,0.1702,0
snapshot_397,7.7637,0.1698,0
snapshot_398,7.7832,0.1659,0
snapshot_399,7.8028,0.173,0
snapshot_400,7.8223,0.1755,0
snapshot_401,7.8419,0.1753,0
snapshot_402,7.8614,0.1722,0
snapshot_403,7.881,0.1766,0
snapshot_404,7.9006,0.1794,0
snapshot_405,7.9201,0.1772,0
snapshot_406,7.9397,0.1764,0
snapshot_407,7.9592,0.1807,0
snapshot_408,7.9788,0.1811,0
snapshot_409,7.9983,0.1823,0
snapshot_410,8.0179,0.1827,0
snapshot_411,8.0375,0.1852,0
snapshot_412,8.057,0.1875,0
snapshot_413,8.0766,0.1856,0
snapshot_414,8.0961,0.1807,0
snapshot_415,8.1157,0.1832,0
snapshot_416,8.1352,0.1866,0
snapshot_417,8.1548,0.191,1
snapshot_418,8.1743,0.1865,0
snapshot_419,8.1939,0.1826,0
snapshot_420,8.2135,0.1847,0
snapshot_421,8.233,0.1907,1
snapshot_422,8.2526,0.191,1
snapshot_423,8.2721,0.1893,0
snapshot_424,8.2917,0.1873,0
snapshot_425,8.3112,0.1914,1
snapshot_426,8.3308,0.1928,1
snapshot_427,8.3503,0.1926,1
snapshot_428,8.3699,0.1911,1
snapshot_429,8.3895,0.1906,1
snapshot_430,8.409,0.1962,1
snapshot_431,8.4286,0.203,1
snapshot_432,8.4481,0.2066,1
snapshot_433,8.4677,0.2068,1
snapshot_434,8.4872,0.2079,1
snapshot_435,8.5068,0.2104,1
snapshot_436,8.5263,0.2059,1
snapshot_437,8.5459,0.2053,1
snapshot_438,8.5655,0.2063,1
snapshot_439,8.585,0.2099,1
snapshot_440,8.6046,0.2182,1
snapshot_441,8.6241,0.2248,1
snapshot_442,8.6437,0.2258,1
snapshot_443,8.6632,0.2233,1
snapshot_444,8.6828,0.2212,1
snapshot_445,8.7024,0.2202,1
snapshot_446,8.7219,0.2213,1
snapshot_447,8.7415,0.2212,1
snapshot_448,8.761,0.2264,1
snapshot_449,8.7806,0.2297,1
snapshot_450,8.8001,0.2372,1
snapshot_451,8.8197,0.2367,1
snapshot_452,8.8392,0.24,1
snapshot_453,8.8588,0.2386,1
snapshot_454,8.8784,0.2394,1
snapshot_455,8.8979,0.2406,1
snapshot_456,8.9175,0.2388,1
snapshot_457,8.937,0.2421,1
snapshot_458,8.9566,0.2408,1
snapshot_459,8.9761,0.2384,1
snapshot_460,8.9957,0.2423,1
snapshot_461,9.0152,0.2435,1
snapshot_462,9.0348,0.2416,1
snapshot_463,9.0544,0.2523,1
snapshot_464,9.0739,0.2493,1
snapshot_465,9.0935,0.2523,1
snapshot_466,9.113,0.2475,1
snapshot_467,9.1326,0.249,1
snapshot_468,9.1521,0.249,1
snapshot_469,9.1717,0.2467,1
snapshot_470,9.1912,0.2466,1
snapshot_471,9.2108,0.247,1
snapshot_472,9.2304,0.2477,1
snapshot_473,9.2499,0.2531,1
snapshot_474,9.2695,0.2587,1
snapshot_475,9.289,0.2586,1
snapshot_476,9.3086,0.2526,1
snapshot_477,9.3281,0.2583,1
snapshot_478,9.3477,0.2596,1
snapshot_479,9.3672,0.2623,1
snapshot_480,9.3868,0.2622,1
snapshot_481,9.4064,0.2677,1
snapshot_482,9.4259,0.265,1
snapshot_483,9.4455,0.2631,1
snapshot_484,9.465,0.2574,1
snapshot_485,9.4846,0.2596,1
snapshot_486,9.5041,0.2611,1
snapshot_487,9.5237,0.2634,1
snapshot_488,9.5433,0.2745,1
snapshot_489,9.5628,0.2736,1
snapshot_490,9.5824,0.2754,1
snapshot_491,9.6019,0.2724,1
snapshot_492,9.6215,0.2696,1
snapshot_493,9.641,0.2668,1
snapshot_494,9.6606,0.2714,1
snapshot_495,9.6801,0.2756,1
snapshot_496,9.6997,0.2789,1
snapshot_497,9.7193,0.2824,1
snapshot_498,9.7388,0.2779,1
snapshot_499,9.7584,0.2788,1
snapshot_500,9.7779,0.2779,1
snapshot_501,9.7779,0.2779,1
